Factor Name (JP/EN),Type,Conditions,,,
連戦連勝 (Ren Sen Renshou),Race,Race 2 races in a row,,,
東の雄 (Higashi no Ou),Race,"Win 7 or more G1 races in Eastern Japan (Tokyo, Nakayama etc).",,,
西の雄 (Nishi no Ou),Race,"Win 7 or more G1 races in Western Japan (Kyoto, Hanshin etc).",,,
旅人 (Tabibito),Race,Participate in races at 7 or more different racecourses.,,,
全階級制覇 (Zen Kaikyuu Seiha),Race,"Win at least one race in each distance category: Short, Mile, Medium, and Long.",,,
叩き良化型 (Tataki Ryouka-gata),Race,Run 3 consecutive races; Reporter event needs to appear at least once in the run  '悦楽取材' (Pleasure Interview) event.,,,
甲斐性なし (Kaishou nashi),,Finish a run with at least one purple skill.,,,
健闘 (Kentou),,Win a race with less than 1 bashin/horse length,,,
諦めない心 (Akiramenai Kokoro),,"Lose a race, then win any race.",,,
反骨精神 (Hankotsu Seishin),Race,Win a race with a C or lower aptitude for either ground or distance.,,,
パーフェクトクラウン (Perfect Crown),Race,"Win the Japanese Triple Crown (皐月賞, 日本ダービー, 菊花賞) plus a set of their respective trial races",弥生賞　（クラ3月前半）/ スプリングステークス　（クラ3月後半）/ 若葉ステークス　（クラ3月後半）,青葉賞　（クラ4月後半）/ プリンシパルステークス　（クラ5月前半）,神戸新聞杯　（クラ9月後半）/ セントライト記念　（クラ9月後半）
パーフェクトティアラ (Perfect Tiara),Race,"Win the Japanese Fillies' Triple Crown (桜花賞, オークス, 秋華賞) plus a set of their respective trial races",フィリーズレビュー　（クラ3月前半）/ チューリップステークス　（クラ3月前半）/ アネモネステークス　（クラ3月前半）,フローラステークス　（クラ4月後半）/ スイートピーステークス　（クラ4月後半）,ローズステークス　（クラ9月前半）/紫苑ステークス　（クラ9月前半）
一年の計は (Ichinen no Kei wa),Race,Win either the 中山金杯 or 京都金杯 in the first turn of senior year.,,,
SSS,Race,Win 3 races from the Summer Sprint Series.,,,
SMS,Race,Win 3 races from the Summer Mile Series.,,,
S2000,Race,Win 3 races from the Summer 2000 Series.,,,
星に願いを (Hoshi ni Negai wo),Race,Win 3 races from the 'star/constellation' series.,,,
ジュエリー (Jewelry),Race,Win 3 races from the 'jewel' series.,,,
新聞屋さん (Shimbun-ya-san),Race,"Win all four races with '新聞杯' in their name: 京都新聞杯, 神戸新聞杯, 中日新聞杯, and 東京新聞杯.",,,
右/左の目覚め (Migi/Hidari no Mezame),Race,Win at least 6 races with a specified turn direction.,,,
春/夏/秋/冬の目覚め (Haru/Natsu/Aki/Fuyu no Mezame),Race,Win at least 6 races in the specified season.,,,
お嬢様 (Ojou-sama),,Obtain the skills 'しとやかな足取り' and '品行方正' simultaneously.,,,
太陽系 (Taiyou-kei),,Obtain exactly 8 skills with '◯' in their names.,,,
ノーブレーキ (No Brake),,Obtain at least 3 skills related to downhill running.,,,
山娘 (Yama-musume),,"Obtain at least 3 skills related to uphill running: '登山家', '勢い任せ', '十万バリキ', or '登竜門'.",,,
ピカピカ (Pikapika),,Obtain at least 2 skills with '光' (light) or '電' (electricity) in their names.,,,
ビュービュー (Byuubyuu),,Obtain at least 2 skills with '風' (wind) in their names.,,,
全天候型 (Zentenkou-gata),,"Obtain the skills '晴れの日◯', '曇りの日◯', '雨の日◯', and '雪の日◯' simultaneously.",,,
出たとこ勝負 (Detatoko Shoubu),,Obtain the skills '向こう見ず' and '後先恐れず' simultaneously.,,,
企画上手 (Kikaku Jouzu),,Obtain at least 3 skills with 'プラン' (plan) in their names.,"トップランナー、プランX、レースプランナー

",,
策略家 (Sakuryaku-ka),,Obtain at least 2 skills with '策' (strategy) in their names.,,,
ウマ娘よ大志を抱け (Uma Musume yo Taishi wo Idake),,Obtain at least 3 skills with '志' (ambition) in their names.,,,
大肺活量 (Dai Haikatsuryou),,Obtain at least 3 skills with '呼吸' (breathing) or '息' (breath) in their names.,,,
東奔西走 (Touhon Seisou),Race,Obtain at least 3 racecourse passive skills at level ◎.,,,
想いの継ぎ手 (Omoi no Tsugite),,Obtain at least 3 inherited unique skills.,,,
信頼の証 (Shinrai no Akashi),,Take at least 6 regular outings with the Uma Musume.,,,
リフレッシュ (Refresh),,Trigger the hot spring event by winning the '温泉旅行券' lottery ticket.,,,
二刀流 (Nitou-ryuu),,"Have all ground aptitudes (Turf/Dirt) at A, and win on both surfaces.",,,
SMILE,,Have all distance aptitudes at A or higher.,,,
自由自在 (Jiyuu Jizai),,Have all racing style aptitudes at A or higher.,,,
ジャックポット (Jackpot),,Have at least 3 status stats reach exactly 777.,,,
スピードの目覚め (Speed no Mezame),,Successfully complete Speed training at least 12 times.,,,
スタミナの目覚め (Stamina no Mezame),,Successfully complete Stamina training at least 12 times.,,,
パワーの目覚め (Power no Mezame),,Successfully complete Power training at least 12 times.,,,
根性の目覚め (Guts no Mezame),,Successfully complete Guts training at least 12 times.,,,
賢さの目覚め (Intelligence no Mezame),,Successfully complete Intelligence training at least 12 times.,,,
